Taxa,longitude,latitude
Macrocystis,146.64139,-43.578509
Macrocystis,172.77721,-43.584056
Macrocystis,146.661392,-43.598506
Macrocystis,146.781398,-43.59851
Macrocystis,146.721389,-43.618504
Macrocystis,172.75576,-43.61896
Macrocystis,146.871394,-43.628504
Macrocystis,172.666711,-43.62851
Macrocystis,146.701398,-43.628511
Macrocystis,146.281398,-43.638509
Macrocystis,146.83139,-43.63851
Macrocystis,172.99623,-43.65361
Macrocystis,-176.74609,-43.75712
Macrocystis,-176.786156,-43.761557
Macrocystis,172.771475,-43.8549
Macrocystis,173.03978,-43.855293
Macrocystis,172.942,-43.8564
Macrocystis,173.0433,-43.85801
Macrocystis,172.927246,-43.875243
Macrocystis,172.9392,-43.8803
Macrocystis,-73.73826667,-43.900375
Macrocystis,172.191788,-43.902471
Macrocystis,-176.5585,-43.94326
Macrocystis,171.865526,-44.026156
Macrocystis,171.264107,-44.410311
Macrocystis,-73.48333333,-44.435
Macrocystis,-72.62655,-44.444925
Macrocystis,-72.65549167,-44.502325
Macrocystis,-65.706803,-44.80249
Macrocystis,167.537964,-44.81578
Macrocystis,-65.633185,-44.896383
Macrocystis,-65.809313,-45.037716
Macrocystis,-73.63529444,-45.10182222
Macrocystis,170.979849,-45.116876
Macrocystis,170.8854221,-45.2231436
Macrocystis,170.826767,-45.3467
Macrocystis,170.89809,-45.39891
Macrocystis,-74.33352778,-45.4335
Macrocystis,170.790699,-45.504563
Macrocystis,166.6745,-45.6005
Macrocystis,170.7217712,-45.6022646
Macrocystis,170.67175,-45.63832
Macrocystis,170.66721,-45.640617
Macrocystis,170.626999,-45.687481
Macrocystis,170.622783,-45.740806
Macrocystis,170.719995,-45.774198
Macrocystis,170.703013,-45.782955
Macrocystis,170.624968,-45.825186
Macrocystis,170.695042,-45.876585
Macrocystis,170.683366,-45.889119
Macrocystis,166.667856,-45.8996462
Macrocystis,170.558833,-45.907924
Macrocystis,170.407147,-45.929686
Macrocystis,-67.548222,-45.950047
Macrocystis,-67.593439,-46.026533
Macrocystis,170.192958,-46.112381
Macrocystis,169.781669,-46.386952
Macrocystis,169.784705,-46.398392
Macrocystis,-73.80606667,-46.49475556
Macrocystis,169.6887332,-46.5017192
Macrocystis,169.478893,-46.568
Macrocystis,168.7988621,-46.58333399
Macrocystis,168.353651,-46.604028
Macrocystis,168.356306,-46.605743
Macrocystis,169.10787,-46.660381
Macrocystis,168.847129,-46.66165
Macrocystis,168.9469939,-46.66682455
Macrocystis,168.97976,-46.667754
Macrocystis,168.508219,-46.787624
Macrocystis,168.02461,-46.80042
Macrocystis,168.037624,-46.815588
Macrocystis,-75.60330833,-46.83093611
Macrocystis,168.092148,-46.83276
Macrocystis,168.146053,-46.8774432
Macrocystis,168.121494,-46.903687
Macrocystis,168.18146,-46.92645
Macrocystis,168.1785619,-47.0576939
Macrocystis,167.699833,-47.1585
Macrocystis,167.583167,-47.256
Macrocystis,-65.901377,-47.751565
Macrocystis,69.06950378,-48.68981552
Macrocystis,69.60510254,-48.95126724
Macrocystis,69.71131897,-49.28995895
Macrocystis,70.06960297,-49.36881638
Macrocystis,70.18558502,-49.38311768
Macrocystis,69.96365356,-49.38416672
Macrocystis,69.93981934,-49.38766479
Macrocystis,70.027031,-49.390328
Macrocystis,69.94930267,-49.472435
Macrocystis,69.90879822,-49.48478317
Macrocystis,69.81745148,-49.49195099
Macrocystis,70.24506378,-49.51396561
Macrocystis,69.95201874,-49.51808167
Macrocystis,69.8208847,-49.55028152
Macrocystis,69.05358505,-49.55578232
Macrocystis,70.1309967,-49.63393402
Macrocystis,166.188962,-50.658956
Macrocystis,166.1627778,-50.695
Macrocystis,-60.5553781,-51.2956237
Macrocystis,-60.6803919,-51.350577
Macrocystis,-57.7908434,-51.6574232
Macrocystis,-57.7392,-51.66654
Macrocystis,-57.8,-51.683333
Macrocystis,-60.41480556,-51.68608056
Macrocystis,-73.308287,-51.865657
Macrocystis,-58.6536026,-52.1299786
Macrocystis,-58.57702,-52.138186
Macrocystis,-60.9247635,-52.1673373
Macrocystis,-60.916633,-52.169032
Macrocystis,-60.7452833,-52.1858242
Macrocystis,-60.4518133,-52.207205
Macrocystis,-58.999036,-52.2476253
Macrocystis,-68.355904,-52.333136
Macrocystis,-59.1045613,-52.4384505
Macrocystis,-69.545769,-52.456703
Macrocystis,169.102409,-52.546419
Macrocystis,169.1519444,-52.554
Macrocystis,169.1733333,-52.55222222
Macrocystis,-70.202504,-52.629972
Macrocystis,-70.91952,-53.177607
Macrocystis,-70.92851944,-53.61286389
Macrocystis,-70.918145,-53.626442
Macrocystis,-67.727065,-53.753297
Macrocystis,-71.00071356,-53.78161148
Macrocystis,-67.548788,-53.842572
Macrocystis,-71.31191389,-53.89348333
Macrocystis,-36.286788,-54.300162
Macrocystis,158.9386,-54.4914
Macrocystis,-35.94891667,-54.626825
Macrocystis,158.8978,-54.6306
Macrocystis,-64.27538,-54.66693
Macrocystis,-70.00057273,-54.70429388
Macrocystis,158.8516667,-54.71638889
Macrocystis,-63.86572,-54.737583
Macrocystis,158.7917,-54.7569
Macrocystis,-64.419545,-54.759917
Macrocystis,-68.244757,-54.795687
Macrocystis,-36.016667,-54.833333
Macrocystis,-68.35782,-54.838506
Macrocystis,-67.85345,-54.846006
Macrocystis,-68.482597,-54.847387
Macrocystis,-68.581094,-54.847486
Macrocystis,-68.767347,-54.871341
Macrocystis,-68.237313,-54.879036
Macrocystis,-67.264258,-54.885483
Macrocystis,-67.645665,-54.887258
Macrocystis,-67.396586,-54.90006
Macrocystis,-66.840322,-54.949201
Macrocystis,-67.033279,-54.952792
Macrocystis,-68.14978333,-55.0474
Macrocystis,-67.0519,-55.0849
Macrocystis,-67.7537,-55.2345
Macrocystis,-68.2006,-55.2434
Macrocystis,-66.8304,-55.2983
